author_id,docs_per_author
00174b484c979369fee3d906bffa0ff8b6c7c9e46db23d24e0745b82d49c487e,2
a9b846b4e8e52a38a0552966d937ef6b4dba4ac35d5f4f279d2b1ed12d0201bc,2
a99ecbbfd4be85b94c21840367c0dda220bd77693aca25b6325c9a9bbb8cda43,2
a97e5d037230a53be07ad01b127b407b00b288df07e0e3da61e9664fdf54b2c6,2
a978adf391a452a8c9326390419128ae0090924aba9192a8d87a94bc6810342d,2
a97084a788aee5d1b22ea1afee94534bc9fcad40419ece017018198e106dd23c,2
a96685934ef8cb6255e09689850dae2230501525299143804b0904ba67b7456e,2
a91780e5b195e9a69e3d489730479508d0fb75b66ee045e44e77f559e579bd93,2
a90f38d03da00eb61910400f27fc7321fde8bd12a1bda240f831b957520719b6,2
a90d215531fb459b71e024accc8b88a49f652808c4c207ce057b76d5c6516e04,2
a8ffbfbe94348fbca05a77f83ab32477c60a43d68ac44527f1c230445da213f3,2
a8ff2437fc25ef803d22f01412861ae512afa332b01dab6be45ee29acbd54653,2
a8f5fe58c522350d78ce012db157039b0792300639f68e13f847d4d9e602f86f,2
a8f2762ebf8e86881b41a97846078e66ccdcb3dc10d8d809c8393de61baf953b,2
a8e419402f7377ca5fe50f82a73935e50d28a4d37b92afb087ac198736666019,2
a8d1dbfcb0b789b66f0d9336323464033711f5d03af077702c9574ac06b9f7f1,2
a8c2d182cb2cb2dd0ed2b853e9f1231b6bae1de2b2154d08d3016a1d9b6eae07,2
a8b581055b055a4c58505b6d1fdbd58bd29c7d33e296d8374b776c4f34bf57ab,2
a8b1f09378afe454d9272220580819d0541dc977c4bf8c613554d635c5643fb9,2
a892fb08b5fdd31ce35604a86f7897a0313c8fa285b9b8ff9ec6a4d6160863f6,2
a876e0fe04173e1bf547ebbea7cdfb69aa6432ab4a3d469b0bfb97e056ecacda,2
a8757afee183a9664e2aea4ec1142ccfaacc7a5e381c60575e681c3d6fcdeb5f,2
a8730e8d9fa5b92b53a79621f08c90ec5590292e29eb167d592ebcc7fea292f7,2
a8713ef34d0a638c4faa2dfae1a32c9c1901a84ea64c00c0800b71fae65bf9d7,2
a858eb4c1d8df64ba9febad85b79f272a647892fbe098e929c01aaa93f072e85,2
a8547c4721568d2b2229075957e8d569408fbeedc76e8382516f5f4befb6aa4e,2
a8547222a555e71f9c8ad7197fd2c45bb8feb6954697a0c1866c59396b39892f,2
a9b4248fce38fc58b30c4300229dd0bf756baa97c57f652231a9e44af7863e47,2
a9bab81f484fe1d5109d29106699d25076f6b5e68750f1f4c1c000ed0c27d683,2
aad3f4fb217c0420262ca82eb43bc2cfcb6c45870eaed753aaf2a5a3a93d093f,2
a9bd3bfdc29f1c15ee2bc5b7483623cfa0d75880e9bbf3508b8166cac1825ceb,2
aab4ebb81c7c871d2e0cb2021bd5a5f1489958d54729a619b9356fd22dabdb50,2
aaafaa6e1f3a9c0066aa68041ae04c8e39fdbf44b234742bef6074eea25f3abb,2
